merchant_id,status_conta,status_seller,dias_desde_ativacao,idade_loja_dias,gmv_ultimos_30d,gmv_ultimos_90d,numero_vendas_30d,numero_vendas_90d,usa_nuvem_marketing,usa_nuvem_chat,usa_concorrente
100065,ativo,no-seller,442,846,0,0,0,0,nao,nao,sim
100066,ativo,struggling-seller,601,2164,0,261,0,1,nao,nao,nao
100067,ativo,no-seller,53,292,0,0,0,0,nao,nao,nao
100068,ativo,medium-seller,563,1837,49203,127390,72,188,nao,nao,nao
100069,ativo,struggling-seller,208,1521,167,537,1,3,nao,nao,sim
100070,cancelado,small-seller,60,501,16308,53649,34,113,nao,nao,nao
100071,ativo,tiny-seller,202,224,3050,7105,8,20,nao,nao,nao
100072,ativo,no-seller,193,2779,0,0,0,0,nao,nao,nao
100073,ativo,no-seller,242,273,0,0,0,0,nao,nao,nao
100074,ativo,tiny-seller,507,3277,816,3516,2,8,nao,nao,sim
100075,ativo,no-seller,407,929,0,0,0,0,nao,nao,nao
100076,ativo,no-seller,249,271,0,0,0,0,nao,sim,sim
100077,ativo,small-seller,764,3469,5096,18368,11,42,nao,nao,nao
100078,ativo,struggling-seller,174,1706,88,185,1,2,sim,nao,nao
100079,ativo,no-seller,176,462,0,0,0,0,nao,nao,nao
100080,ativo,no-seller,98,254,0,0,0,0,nao,sim,nao
100081,ativo,no-seller,22,1224,0,0,0,0,nao,nao,nao
100082,ativo,struggling-seller,50,1440,180,946,1,5,nao,nao,nao
100083,ativo,no-seller,40,943,0,0,0,0,nao,nao,nao
100084,ativo,no-seller,191,245,0,0,0,0,nao,nao,nao
100085,ativo,no-seller,279,587,0,0,0,0,nao,nao,nao
100086,ativo,tiny-seller,346,1450,662,1636,4,10,sim,nao,nao
100087,ativo,no-seller,268,1463,0,0,0,0,nao,nao,nao
100088,ativo,no-seller,35,41,0,0,0,0,nao,nao,nao
100089,ativo,no-seller,664,1232,0,0,0,0,nao,nao,nao
100090,ativo,no-seller,68,79,0,0,0,0,sim,nao,nao
100091,ativo,medium-seller,380,422,46110,158321,91,309,nao,nao,nao
100092,ativo,small-seller,62,1005,16545,40904,36,81,nao,nao,nao
100093,ativo,tiny-seller,600,718,1442,3100,6,13,nao,sim,nao
100094,ativo,no-seller,602,1681,0,0,0,0,nao,nao,sim
100095,ativo,struggling-seller,487,1445,462,921,2,4,nao,nao,sim
100096,ativo,no-seller,502,1168,0,0,0,0,nao,nao,nao
100097,ativo,no-seller,79,97,0,0,0,0,nao,nao,nao
100098,cancelado,struggling-seller,309,485,84,354,1,4,nao,nao,nao
100099,ativo,no-seller,383,1082,0,0,0,0,nao,nao,nao
100100,ativo,no-seller,381,444,0,0,0,0,nao,nao,nao
100101,ativo,struggling-seller,62,287,146,577,1,4,nao,nao,nao
100102,ativo,tiny-seller,142,340,2429,6541,9,25,nao,sim,nao
100103,ativo,small-seller,92,316,10158,31651,46,142,sim,nao,nao
100104,churnado,struggling-seller,159,2342,204,406,1,2,nao,sim,nao
100105,ativo,struggling-seller,112,261,232,927,1,4,nao,nao,nao
100106,ativo,struggling-seller,362,1094,0,144,0,1,nao,nao,nao
100107,ativo,medium-seller,353,498,72131,234206,166,521,sim,nao,nao
100108,ativo,small-seller,75,314,6535,17457,23,61,nao,nao,nao
100109,ativo,struggling-seller,330,3342,254,767,2,6,sim,nao,nao
100110,ativo,medium-seller,64,75,101193,323501,171,544,sim,sim,nao
100111,ativo,no-seller,516,1292,0,0,0,0,nao,sim,nao
100112,cancelado,struggling-seller,372,884,227,673,1,3,nao,nao,nao
100113,churnado,struggling-seller,10,114,207,1024,1,5,nao,nao,nao
100114,ativo,medium-seller,539,3466,37257,114065,85,246,sim,sim,nao
100115,ativo,tiny-seller,539,1980,1266,3124,3,8,nao,sim,nao
100116,ativo,medium-seller,770,886,123709,344007,222,610,nao,nao,nao
100117,ativo,no-seller,35,152,0,0,0,0,nao,sim,nao
100118,ativo,small-seller,528,1279,13890,30261,60,139,nao,nao,nao
100119,ativo,no-seller,41,368,0,0,0,0,nao,sim,nao
100120,ativo,struggling-seller,140,1699,0,110,0,1,nao,nao,nao
100121,ativo,no-seller,77,238,0,0,0,0,sim,nao,nao
100122,ativo,no-seller,511,1991,0,0,0,0,nao,sim,nao
100123,ativo,no-seller,314,440,0,0,0,0,nao,nao,nao
100124,ativo,struggling-seller,269,330,344,951,2,5,nao,nao,nao
100125,ativo,tiny-seller,340,1392,1289,3336,4,11,sim,nao,nao
100126,ativo,no-seller,10,151,0,0,0,0,nao,nao,nao
100127,ativo,no-seller,41,46,0,0,0,0,nao,nao,nao
100128,ativo,no-seller,47,96,0,0,0,0,nao,nao,nao
100129,churnado,no-seller,127,141,0,0,0,0,nao,nao,nao
100130,ativo,no-seller,421,442,0,0,0,0,nao,nao,nao
100131,ativo,no-seller,367,470,0,0,0,0,nao,nao,nao
100132,ativo,small-seller,222,318,4020,15410,19,66,nao,nao,nao
100133,ativo,no-seller,370,1006,0,0,0,0,nao,nao,nao
100134,ativo,medium-seller,39,346,98192,256438,261,738,sim,nao,nao
100135,ativo,struggling-seller,502,1201,103,213,1,2,nao,sim,nao
100136,ativo,tiny-seller,717,1281,2191,6478,9,27,nao,nao,nao
100137,ativo,no-seller,367,387,0,0,0,0,nao,nao,nao
100138,ativo,no-seller,657,3184,0,0,0,0,sim,nao,nao
100139,ativo,tiny-seller,601,710,560,2059,3,12,nao,nao,nao
100140,ativo,no-seller,141,149,0,0,0,0,nao,nao,nao
100141,ativo,struggling-seller,594,826,132,242,1,2,nao,nao,nao
100142,ativo,struggling-seller,40,43,111,563,1,5,nao,nao,nao
100143,ativo,struggling-seller,353,1387,91,378,1,4,nao,nao,nao
100144,ativo,no-seller,160,285,0,0,0,0,nao,nao,nao
100145,ativo,small-seller,92,577,9088,23886,31,81,nao,nao,nao
100146,ativo,struggling-seller,374,1542,0,160,0,1,nao,sim,nao
100147,ativo,tiny-seller,187,300,1124,3026,4,11,nao,nao,nao
100148,ativo,large-seller,306,1413,269740,639059,523,1358,nao,nao,nao
100149,ativo,no-seller,233,527,0,0,0,0,nao,nao,nao
100150,ativo,struggling-seller,151,2023,236,708,2,6,nao,nao,nao
100151,ativo,struggling-seller,574,626,272,759,1,3,nao,nao,nao
100152,ativo,medium-seller,76,227,76251,193689,138,381,nao,nao,nao
100153,ativo,small-seller,176,381,11230,34233,45,129,nao,nao,nao
100154,ativo,struggling-seller,248,811,0,171,0,1,nao,nao,nao
100155,churnado,small-seller,204,533,21634,50536,50,127,nao,nao,nao
100156,ativo,small-seller,406,3466,19684,65317,36,131,nao,nao,nao
100157,ativo,small-seller,479,2094,7290,17316,27,65,nao,nao,nao
100158,ativo,tiny-seller,88,618,1576,3432,8,19,nao,nao,sim
100159,ativo,struggling-seller,7,59,224,468,2,4,nao,nao,nao
100160,ativo,tiny-seller,425,870,3169,8357,12,29,nao,nao,sim
100161,ativo,no-seller,517,700,0,0,0,0,nao,nao,nao
100162,ativo,no-seller,734,1143,0,0,0,0,nao,sim,nao
100163,ativo,no-seller,467,613,0,0,0,0,nao,nao,nao
100164,ativo,no-seller,0,202,0,0,0,0,nao,nao,sim
100165,ativo,no-seller,70,3430,0,0,0,0,nao,nao,nao
100166,ativo,no-seller,746,993,0,0,0,0,nao,nao,nao
100167,ativo,small-seller,384,2540,5738,14999,15,41,nao,sim,sim
100168,ativo,struggling-seller,544,691,383,778,2,4,nao,nao,sim
100169,ativo,no-seller,38,45,0,0,0,0,nao,nao,nao
100170,ativo,no-seller,57,679,0,0,0,0,sim,nao,nao
100171,ativo,struggling-seller,688,783,128,367,1,3,sim,nao,nao
100172,ativo,no-seller,390,1000,0,0,0,0,nao,nao,nao
100173,ativo,no-seller,484,1491,0,0,0,0,nao,nao,nao
100174,ativo,no-seller,26,57,0,0,0,0,nao,nao,nao
100175,ativo,no-seller,460,1012,0,0,0,0,nao,sim,nao
100176,ativo,no-seller,617,1116,0,0,0,0,sim,sim,nao
100177,ativo,struggling-seller,53,166,147,425,1,3,nao,nao,nao
100178,ativo,no-seller,332,510,0,0,0,0,nao,nao,nao
100179,ativo,no-seller,480,3283,0,0,0,0,nao,nao,nao
100180,ativo,no-seller,759,2191,0,0,0,0,sim,nao,nao
100181,ativo,no-seller,42,115,0,0,0,0,nao,nao,nao
100182,ativo,small-seller,250,298,13340,30700,53,123,nao,sim,sim
100183,ativo,medium-seller,782,1094,30037,77349,59,157,nao,nao,nao
100184,trial,struggling-seller,33,35,262,854,2,6,sim,nao,nao
100185,ativo,no-seller,191,385,0,0,0,0,nao,nao,nao
100186,ativo,no-seller,82,1932,0,0,0,0,nao,nao,nao
100187,ativo,no-seller,57,713,0,0,0,0,nao,nao,sim
100188,ativo,struggling-seller,48,290,509,1332,2,5,nao,nao,nao
100189,ativo,no-seller,36,158,0,0,0,0,nao,nao,nao
100190,ativo,no-seller,99,188,0,0,0,0,nao,nao,nao
100191,ativo,tiny-seller,80,1181,2140,5624,8,23,nao,nao,nao
100192,ativo,no-seller,384,714,0,0,0,0,nao,nao,nao
100193,ativo,struggling-seller,730,1739,0,83,0,1,nao,nao,nao
100194,ativo,no-seller,417,719,0,0,0,0,sim,sim,nao
100195,ativo,tiny-seller,12,2188,1944,5552,6,16,nao,nao,nao
100196,ativo,no-seller,200,251,0,0,0,0,sim,nao,nao
100197,ativo,struggling-seller,27,148,135,251,1,2,nao,nao,nao
100198,churnado,no-seller,203,268,0,0,0,0,nao,nao,nao
100199,ativo,struggling-seller,96,190,252,692,1,3,nao,nao,nao
100200,ativo,struggling-seller,418,1872,430,863,3,6,nao,nao,nao
100201,ativo,struggling-seller,368,1695,404,1333,2,6,nao,nao,nao
100202,ativo,medium-seller,5,442,47613,115126,102,251,nao,nao,sim
100203,ativo,no-seller,118,3069,0,0,0,0,nao,nao,nao
100204,ativo,tiny-seller,356,632,1827,6230,7,22,nao,nao,nao
100205,ativo,struggling-seller,218,289,126,494,1,4,nao,nao,nao
100206,ativo,tiny-seller,6,59,2219,5788,9,24,nao,nao,nao
100207,ativo,tiny-seller,304,1254,2604,7379,9,26,nao,nao,nao
100208,ativo,small-seller,177,2759,9559,29667,35,102,nao,nao,nao
100209,ativo,no-seller,454,1273,0,0,0,0,nao,sim,sim
100210,ativo,no-seller,137,223,0,0,0,0,nao,nao,nao
100211,ativo,struggling-seller,586,608,0,123,0,1,nao,nao,nao
100212,ativo,no-seller,209,210,0,0,0,0,sim,nao,nao
100213,ativo,no-seller,705,1404,0,0,0,0,nao,nao,nao
100214,ativo,no-seller,52,157,0,0,0,0,nao,nao,nao
100215,ativo,no-seller,299,3257,0,0,0,0,nao,nao,nao
100216,cancelado,struggling-seller,52,78,0,273,0,1,nao,nao,nao
100217,ativo,no-seller,787,965,0,0,0,0,sim,nao,nao
100218,churnado,no-seller,335,2951,0,0,0,0,nao,nao,nao
100219,ativo,medium-seller,714,969,89732,289035,159,517,sim,nao,nao
100220,ativo,tiny-seller,40,51,4255,9224,9,21,nao,nao,nao
100221,ativo,no-seller,21,70,0,0,0,0,sim,nao,nao
100222,ativo,no-seller,12,75,0,0,0,0,sim,nao,nao
100223,ativo,struggling-seller,21,34,0,218,0,1,sim,nao,nao
100224,ativo,large-seller,67,108,315637,760157,514,1327,sim,sim,nao
100225,ativo,no-seller,322,3085,0,0,0,0,nao,nao,nao
100226,ativo,struggling-seller,291,1324,173,491,2,6,nao,nao,nao
100227,ativo,struggling-seller,1,64,272,773,1,3,sim,sim,nao
100228,ativo,no-seller,518,1686,0,0,0,0,nao,nao,nao
100229,ativo,no-seller,550,989,0,0,0,0,nao,nao,nao
100230,ativo,no-seller,549,1801,0,0,0,0,nao,nao,nao
100231,ativo,struggling-seller,223,263,433,1259,2,6,sim,sim,nao
100232,trial,struggling-seller,264,310,274,834,2,6,nao,nao,nao
100233,ativo,struggling-seller,56,608,360,800,2,4,nao,sim,sim
100234,ativo,small-seller,9,135,15987,37903,42,101,sim,nao,sim
100235,ativo,struggling-seller,25,51,0,220,0,1,nao,nao,nao
100236,churnado,top-seller,750,1609,1220436,2630843,1591,3739,sim,nao,nao
100237,ativo,no-seller,243,654,0,0,0,0,nao,nao,nao
100238,ativo,no-seller,14,50,0,0,0,0,nao,nao,nao
100239,ativo,medium-seller,12,72,84270,289380,202,668,nao,nao,nao
100240,ativo,no-seller,25,66,0,0,0,0,sim,nao,nao
100241,ativo,no-seller,61,268,0,0,0,0,nao,nao,nao
100242,ativo,no-seller,20,93,0,0,0,0,nao,nao,nao
100243,ativo,no-seller,151,2134,0,0,0,0,sim,nao,nao
100244,ativo,struggling-seller,44,208,0,263,0,1,nao,nao,nao
100245,ativo,struggling-seller,86,2825,210,982,1,5,nao,nao,nao
100246,ativo,small-seller,370,447,7591,26138,23,81,nao,nao,nao
100247,ativo,no-seller,49,73,0,0,0,0,sim,nao,nao
100248,ativo,struggling-seller,19,1765,198,823,1,4,nao,nao,nao
100249,ativo,large-seller,598,653,234255,552820,444,989,nao,nao,nao
100250,ativo,tiny-seller,81,133,3810,11570,9,30,nao,nao,nao
100251,ativo,no-seller,56,181,0,0,0,0,sim,nao,nao
100252,ativo,tiny-seller,90,302,747,3049,4,17,nao,nao,nao
100253,ativo,medium-seller,447,1378,104117,302359,239,649,nao,nao,nao
100254,ativo,medium-seller,400,2935,142870,488674,204,732,nao,nao,nao
100255,ativo,no-seller,654,1268,0,0,0,0,nao,nao,sim
100256,ativo,struggling-seller,55,315,142,464,2,6,nao,nao,nao
100257,ativo,no-seller,4,65,0,0,0,0,nao,nao,nao
100258,ativo,no-seller,38,351,0,0,0,0,nao,nao,sim
100259,ativo,struggling-seller,31,545,455,871,2,4,nao,nao,nao
100260,ativo,no-seller,502,767,0,0,0,0,sim,nao,nao
100261,ativo,struggling-seller,204,853,0,82,0,1,sim,nao,nao
100262,ativo,no-seller,134,470,0,0,0,0,nao,nao,nao
100263,ativo,no-seller,99,1212,0,0,0,0,sim,nao,nao
100264,churnado,struggling-seller,396,716,275,660,2,5,nao,nao,nao
100265,ativo,struggling-seller,57,93,271,509,1,2,sim,nao,nao
100266,ativo,tiny-seller,71,73,2758,7101,8,19,sim,nao,nao
100267,churnado,no-seller,12,84,0,0,0,0,nao,nao,nao
100268,ativo,no-seller,585,1042,0,0,0,0,nao,sim,nao
100269,ativo,struggling-seller,39,1200,380,792,2,4,nao,nao,nao
100270,ativo,small-seller,95,102,13604,40939,29,87,nao,nao,sim
100271,ativo,no-seller,413,1270,0,0,0,0,sim,nao,nao
100272,trial,no-seller,59,1965,0,0,0,0,nao,nao,nao
100273,ativo,no-seller,517,1902,0,0,0,0,nao,nao,nao
100274,ativo,no-seller,445,471,0,0,0,0,nao,nao,nao
100275,ativo,no-seller,92,1951,0,0,0,0,nao,nao,nao
100276,ativo,medium-seller,662,2138,44322,99414,165,381,nao,sim,nao
100277,ativo,no-seller,658,3126,0,0,0,0,nao,nao,nao
100278,ativo,no-seller,133,254,0,0,0,0,nao,nao,nao
100279,ativo,struggling-seller,383,2038,377,990,2,5,nao,nao,nao
100280,ativo,tiny-seller,614,2479,1700,5935,6,19,nao,nao,nao
100281,ativo,no-seller,487,666,0,0,0,0,nao,nao,nao
100282,ativo,tiny-seller,185,2287,880,3069,5,16,nao,nao,nao
100283,ativo,no-seller,75,208,0,0,0,0,nao,sim,sim
100284,ativo,struggling-seller,483,920,144,294,1,2,nao,nao,nao
100285,ativo,struggling-seller,499,1626,168,506,1,3,nao,sim,nao
100286,ativo,no-seller,392,3108,0,0,0,0,sim,nao,nao
100287,churnado,small-seller,543,1504,6758,20351,19,55,sim,sim,nao
100288,ativo,struggling-seller,444,640,531,1683,2,6,nao,nao,nao
100289,ativo,no-seller,333,338,0,0,0,0,nao,nao,nao
100290,ativo,struggling-seller,49,833,171,546,2,6,nao,sim,nao
100291,ativo,struggling-seller,717,927,159,302,1,2,nao,nao,nao
100292,ativo,no-seller,212,701,0,0,0,0,nao,nao,nao
100293,trial,no-seller,73,87,0,0,0,0,nao,nao,sim
100294,ativo,struggling-seller,32,81,218,617,2,6,nao,nao,sim
100295,ativo,no-seller,679,2101,0,0,0,0,nao,nao,nao
100296,churnado,no-seller,381,1382,0,0,0,0,nao,nao,nao
100297,churnado,no-seller,244,367,0,0,0,0,nao,nao,nao
100298,ativo,struggling-seller,54,57,114,212,1,2,nao,nao,nao
100299,ativo,no-seller,451,2377,0,0,0,0,sim,nao,nao
100300,ativo,struggling-seller,590,1562,294,928,2,6,nao,nao,nao
100301,ativo,struggling-seller,55,3356,0,189,0,1,sim,nao,nao
100302,ativo,no-seller,410,496,0,0,0,0,nao,sim,nao
100303,ativo,medium-seller,18,1443,63523,146016,110,256,nao,nao,nao
100304,ativo,tiny-seller,339,2045,1831,7543,6,24,nao,nao,nao
100305,ativo,no-seller,504,2455,0,0,0,0,sim,nao,nao
100306,ativo,struggling-seller,100,142,183,347,1,2,nao,nao,nao
100307,ativo,struggling-seller,49,655,453,1223,2,5,nao,nao,nao
100308,ativo,no-seller,709,3262,0,0,0,0,nao,nao,nao
100309,churnado,no-seller,52,102,0,0,0,0,nao,nao,nao
100310,ativo,struggling-seller,111,268,133,264,1,2,nao,nao,nao
100311,ativo,struggling-seller,727,2875,156,687,1,4,sim,nao,nao
100312,cancelado,struggling-seller,7,111,424,1347,2,6,nao,nao,nao
100313,ativo,struggling-seller,48,1197,143,540,1,4,nao,nao,nao
100314,ativo,struggling-seller,559,1495,332,993,2,6,nao,nao,nao
100315,ativo,struggling-seller,84,202,414,830,2,4,nao,nao,nao
100316,ativo,no-seller,17,139,0,0,0,0,nao,nao,nao
100317,ativo,no-seller,679,2343,0,0,0,0,nao,nao,nao
100318,ativo,struggling-seller,770,3459,179,556,2,6,nao,nao,nao
100319,ativo,no-seller,788,2580,0,0,0,0,nao,nao,nao
100320,ativo,small-seller,131,146,9335,20982,17,41,nao,sim,nao
100321,ativo,medium-seller,662,1605,35745,97390,81,224,nao,nao,nao
100322,ativo,no-seller,7,37,0,0,0,0,nao,nao,nao
100323,ativo,struggling-seller,74,1231,241,700,1,3,nao,nao,nao
100324,ativo,tiny-seller,649,695,1472,3489,5,11,sim,nao,nao
100325,ativo,no-seller,88,160,0,0,0,0,nao,nao,nao
100326,ativo,no-seller,258,907,0,0,0,0,nao,nao,nao
100327,ativo,tiny-seller,562,2775,1383,4013,7,21,nao,nao,sim
100328,ativo,no-seller,156,286,0,0,0,0,nao,nao,nao
100329,ativo,medium-seller,80,127,49995,146551,139,403,nao,nao,nao
100330,ativo,no-seller,211,229,0,0,0,0,sim,nao,nao
100331,ativo,no-seller,2,66,0,0,0,0,nao,nao,nao
100332,ativo,tiny-seller,9,163,4025,10017,9,24,sim,nao,sim
100333,ativo,no-seller,157,187,0,0,0,0,nao,nao,nao
100334,ativo,struggling-seller,149,750,378,1129,2,6,nao,nao,nao
100335,ativo,no-seller,105,1019,0,0,0,0,nao,nao,nao
100336,ativo,no-seller,178,691,0,0,0,0,nao,nao,nao
100337,ativo,no-seller,57,199,0,0,0,0,nao,nao,nao
100338,ativo,no-seller,513,865,0,0,0,0,nao,nao,nao
100339,ativo,no-seller,20,113,0,0,0,0,nao,nao,nao
100340,ativo,tiny-seller,493,1320,1700,5800,8,28,sim,nao,sim
100341,ativo,no-seller,613,3033,0,0,0,0,nao,nao,nao
100342,ativo,tiny-seller,221,2920,2250,5764,8,21,nao,nao,nao
100343,ativo,struggling-seller,48,63,114,423,1,4,nao,nao,nao
100344,ativo,no-seller,617,1060,0,0,0,0,nao,sim,nao
100345,ativo,no-seller,22,424,0,0,0,0,nao,nao,nao
100346,ativo,tiny-seller,294,315,585,2164,3,10,nao,sim,nao
100347,ativo,no-seller,80,156,0,0,0,0,nao,sim,nao
100348,ativo,no-seller,578,670,0,0,0,0,nao,nao,nao
100349,ativo,no-seller,494,1654,0,0,0,0,sim,nao,nao
100350,cancelado,struggling-seller,407,1599,192,546,2,6,nao,nao,nao
100351,ativo,no-seller,93,973,0,0,0,0,nao,nao,nao
100352,ativo,no-seller,311,344,0,0,0,0,sim,nao,nao
100353,ativo,struggling-seller,611,1280,0,263,0,1,nao,nao,nao
100354,ativo,no-seller,0,187,0,0,0,0,nao,sim,nao
100355,ativo,struggling-seller,102,399,180,423,2,5,nao,nao,nao
100356,ativo,no-seller,129,132,0,0,0,0,sim,sim,nao
100357,churnado,tiny-seller,550,3017,3046,7056,10,25,nao,nao,nao
100358,ativo,tiny-seller,58,169,1566,3928,7,17,nao,nao,nao
100359,ativo,struggling-seller,48,138,239,904,1,4,sim,sim,nao
100360,ativo,no-seller,43,2138,0,0,0,0,nao,nao,nao
100361,ativo,small-seller,281,775,12009,33114,31,93,sim,nao,nao
100362,ativo,no-seller,66,93,0,0,0,0,nao,nao,sim
100363,ativo,struggling-seller,132,282,154,316,1,2,nao,nao,nao
100364,ativo,struggling-seller,25,177,211,676,2,6,nao,nao,nao
100365,ativo,struggling-seller,307,1663,173,523,1,3,nao,nao,nao
100366,churnado,no-seller,7,38,0,0,0,0,nao,nao,nao
100367,ativo,struggling-seller,291,676,144,401,1,3,nao,nao,nao
100368,ativo,no-seller,81,2543,0,0,0,0,sim,nao,nao
100369,ativo,no-seller,277,1004,0,0,0,0,nao,nao,nao
100370,ativo,struggling-seller,85,479,189,411,1,2,nao,nao,sim
100371,ativo,struggling-seller,106,3452,183,546,1,3,sim,sim,nao
100372,ativo,tiny-seller,278,512,3693,9801,9,24,nao,nao,nao
100373,ativo,tiny-seller,187,463,1213,4476,5,20,nao,nao,sim
100374,ativo,no-seller,1,179,0,0,0,0,nao,nao,nao
100375,ativo,no-seller,661,1295,0,0,0,0,nao,nao,nao
100376,ativo,no-seller,627,1545,0,0,0,0,nao,nao,nao
100377,ativo,tiny-seller,35,411,551,2016,3,12,sim,nao,nao
100378,ativo,no-seller,5,33,0,0,0,0,sim,nao,nao
100379,ativo,tiny-seller,474,3475,1902,5877,10,29,nao,nao,nao
100380,ativo,tiny-seller,113,196,756,2199,5,14,nao,nao,sim
100381,churnado,struggling-seller,163,201,103,323,1,3,sim,nao,sim
100382,ativo,tiny-seller,158,529,1111,4117,5,18,sim,nao,nao
100383,ativo,no-seller,660,729,0,0,0,0,nao,nao,nao
100384,ativo,struggling-seller,68,326,221,633,1,3,nao,nao,nao
100385,ativo,no-seller,37,117,0,0,0,0,nao,nao,nao
100386,ativo,struggling-seller,19,1385,436,1090,2,5,nao,nao,nao
100387,ativo,no-seller,68,637,0,0,0,0,sim,nao,nao
100388,ativo,no-seller,8,145,0,0,0,0,nao,nao,nao
100389,ativo,struggling-seller,93,203,146,320,1,2,nao,nao,nao
100390,ativo,struggling-seller,272,1903,174,464,2,5,nao,nao,nao
100391,ativo,tiny-seller,54,415,3002,8732,9,27,nao,nao,nao
100392,ativo,struggling-seller,380,3462,431,907,2,4,nao,nao,nao
100393,ativo,medium-seller,530,839,43003,116169,112,289,nao,nao,nao
100394,ativo,no-seller,70,323,0,0,0,0,nao,nao,nao
100395,ativo,no-seller,582,763,0,0,0,0,nao,nao,nao
100396,ativo,no-seller,706,1916,0,0,0,0,nao,nao,sim
